1.000000000000000000e+00,nan,7.112214089303958531e+01,-4.396739796105620712e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.270364131673804714e-02
2.000000000000000000e+00,nan,1.137029301846067426e+02,6.895810779793407619e-01,-1.769211481323786472e+00,nan,nan,nan,nan,nan,nan,nan,nan,5.673848741011882080e-01,4.326151258988117920e-01,nan,nan,nan,nan,nan,nan,nan,nan,3.417677702682097880e-03
3.000000000000000000e+00,nan,1.666417966358290812e+02,1.139706323143254707e+01,5.661290912554353127e+00,3.026379077653128746e+00,nan,nan,nan,nan,nan,nan,nan,1.500508014455472772e-01,3.922621740796319312e-01,4.576870244748207917e-01,nan,nan,nan,nan,nan,nan,nan,5.658420481057824811e-04
4.000000000000000000e+00,nan,1.935897816361067214e+02,1.555567012174186559e+01,1.326152939627657190e+01,8.186156408791877226e+00,5.442161483596407834e+00,nan,nan,nan,nan,nan,nan,1.045071782996864762e-01,8.092262471365224696e-02,3.451817066538310774e-01,4.693884903328302549e-01,nan,nan,nan,nan,nan,nan,6.917336701786215678e-05
5.000000000000000000e+00,nan,1.985730624218712705e+02,1.921912672692434398e+01,1.598096362941536874e+01,1.375587997443455990e+01,8.653875196972002470e+00,5.888008578110877522e+00,nan,nan,nan,nan,nan,2.329631325268793907e-02,9.026756703070687449e-02,7.752971053749413421e-02,3.376804659290097987e-01,4.712259432501012535e-01,nan,nan,nan,nan,nan,2.730105018121774234e-06
6.000000000000000000e+00,nan,2.005363316300541783e+02,1.949034335825069775e+01,1.622070688334294886e+01,1.396825534047406414e+01,8.889125581423900968e+00,7.820787979401668366e+00,6.019804372244212942e+00,nan,nan,nan,nan,2.388516104630300507e-02,9.052161354849885821e-02,7.769099239901933185e-02,3.092645187294720266e-01,4.403847141547401201e-02,4.545992428612327663e-01,nan,nan,nan,nan,8.374823158817868008e-08
7.000000000000000000e+00,nan,2.004107585129418680e+02,1.947302297800473525e+01,1.620549100481596128e+01,1.395470570581199432e+01,8.873427920824603632e+00,7.809808806424804573e+00,6.048641592296931435e+00,5.453169676373772035e+00,nan,nan,nan,2.384373536163508778e-02,9.050442678174736022e-02,7.768938343750925180e-02,3.114485787440998132e-01,3.978325455079240180e-02,4.284714793969287561e-01,2.825914172728738460e-02,nan,nan,nan,3.918579082589704350e-08
8.000000000000000000e+00,nan,2.004501633135340626e+02,1.947927683083208805e+01,1.621343104687283443e+01,1.512056979296722758e+01,1.395603810934837163e+01,8.875594113613541225e+00,7.813342567939216110e+00,7.025571500242328682e+00,5.999558730668674400e+00,nan,nan,2.383969666948532184e-02,9.013995200080543446e-02,7.205601575199782616e-04,7.737194263220964485e-02,3.126580032444249979e-01,3.397701720719853435e-02,1.525888993183077691e-02,4.460339381565253669e-01,nan,nan,7.134916609106359150e-08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
