1,450,0.416666667,0.167,90.3376,10.5687
2,450,0.516666667,0.256,49.43,2.072
3,500,0.433333333,0.551,54.131,0.553
4,500,0.583333333,0.742,47.2076,0.8093
5,550,0.216666667,1.14,53.5463,0.383
6,550,0.316666667,1.51,47.9869,0.3986
7,600,0.266666667,2.52,51.9148,0.2971
8,600,0.4,3.4,50.6579,0.2942
9,650,0.383333333,5.42,52.7775,0.2826
10,650,0.633333333,7.65,53.4096,0.2909
11,700,0.7,12.2603,54.4698,0.2843
12,700,0.783333333,14.9327,55.0305,0.2921
13,750,0.783333333,19.5745,55.5781,0.2947
14,775,0.533333333,21.9551,56.1136,0.3071
15,800,0.416666667,24.0983,56.4253,0.299
16,825,0.25,25.3845,56.8474,0.3054
17,850,0.333333333,27.2509,57.1333,0.3071
18,875,0.316666667,28.9479,57.418,0.3059
19,900,0.25,30.2913,57.8999,0.312
20,925,0.316666667,31.632,58.3285,0.3145
21,950,0.266666667,33.1238,58.8016,0.3167
22,975,0.35,35.0631,59.0602,0.3153
23,1000,0.416666667,37.1536,59.5441,0.317
24,1025,0.433333333,39.5398,59.4378,0.3222
25,1050,0.366666667,41.7143,60.1515,0.3546
26,1075,0.3,43.9294,60.5604,0.3448
27,1100,0.283333333,46.13,60.8592,0.3356
28,1100,0.75,49.8909,61.4622,0.3358
29,1100,1.416666667,54.1494,62.1027,0.4171
30,1100,2.083333333,57.9536,62.9751,0.4289
31,1100,3.483333333,62.0609,63.3657,0.4756
32,1100,10.9,69.1193,63.6641,0.6886
33,1150,0.233333333,69.5913,64.7092,0.471
34,1175,0.416666667,71.2606,64.5163,0.3831
35,1200,0.333333333,73.7378,64.7251,0.4608
36,1225,0.2,76.2479,64.3653,0.3467
37,1250,0.183333333,81.3311,63.6455,0.3436
38,1275,0.183333333,88.7215,63.0784,0.3498
39,1300,0.283333333,96.6123,62.7943,0.339
40,1400,0.2,98.3458,62.5049,0.4036
41,1550,0.5,99.99,66.5568,1.8248
