1.000000000000000000e+00,4.579805727839146806e-12,6.201261901700474510e+01,-4.999919356679892957e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.552987624453660101e+05
2.000000000000000000e+00,4.579960361638650136e-12,1.056440459611615381e+02,-1.394952417954584689e-01,-2.935385029884344021e+00,nan,nan,nan,nan,nan,nan,nan,nan,4.961480865729218648e-01,5.038519134270781352e-01,nan,nan,nan,nan,nan,nan,nan,nan,4.366328801042453269e+05
3.000000000000000000e+00,4.579840987370955145e-12,1.631903447247727570e+02,1.098112378758868246e+01,5.343692404096053394e+00,2.552295378411134408e+00,nan,nan,nan,nan,nan,nan,nan,1.474938006472849006e-01,3.823472369194961251e-01,4.701589624332189743e-01,nan,nan,nan,nan,nan,nan,nan,7.042459027901434456e+04
4.000000000000000000e+00,4.579815027849378841e-12,1.857664094855381904e+02,1.453896749284233003e+01,1.242428868103765538e+01,7.437972564719252944e+00,4.607410276976573016e+00,nan,nan,nan,nan,nan,nan,9.531010945546763979e-02,7.745724497774875150e-02,3.572298590636602267e-01,4.700027865031233265e-01,nan,nan,nan,nan,nan,nan,2.610135800935039151e+04
5.000000000000000000e+00,4.579806877279694687e-12,1.964759432007815008e+02,1.907113812916254858e+01,1.569906739313039878e+01,1.351386423963261940e+01,8.440414582823787981e+00,5.647163738722220216e+00,nan,nan,nan,nan,nan,2.520226675508435710e-02,9.084400658388314120e-02,7.636261956398759931e-02,3.437381350854445961e-01,4.638529720116002508e-01,nan,nan,nan,nan,nan,4.474071423997035708e+03
6.000000000000000000e+00,4.579807496140829061e-12,1.980889053720507036e+02,2.311536465615851910e+01,1.917124653113851451e+01,1.589195948554522531e+01,1.368482233321460662e+01,8.598104372321071054e+00,5.845812399244639579e+00,nan,nan,nan,nan,1.214077238976685180e-02,2.329216847171966531e-02,9.057636169229082990e-02,7.625194783136451937e-02,3.390723490089992964e-01,4.586664006058588372e-01,nan,nan,nan,nan,4.906468746648399133e+02
7.000000000000000000e+00,4.592737465605169201e-12,1.995061953107331760e+02,2.329109943857351084e+01,1.936545641396269701e+01,1.606839597656934160e+01,1.384074388846442716e+01,8.767769677399979145e+00,7.171904121675954258e+00,5.877459807528502722e+00,nan,nan,nan,1.170479514166633539e-02,2.312345838987756030e-02,9.006504460367431575e-02,7.591540340649494123e-02,3.215346021118415387e-01,4.644290227931946458e-02,4.312137940671257885e-01,nan,nan,nan,1.585997472566464808e+02
8.000000000000000000e+00,4.589969666175419014e-12,2.001059245003660294e+02,2.337692279072170720e+01,1.944630581222098442e+01,1.614167317727176254e+01,1.390517058103090520e+01,8.927825193396522252e+00,8.484520664395109435e+00,6.044327500369604422e+00,4.604402906462365053e+00,nan,nan,1.175160591877860705e-02,2.323243800089414002e-02,9.020551812317367801e-02,7.600050047805284592e-02,2.184253106620820395e-01,1.214689319171158854e-01,4.364045573962170299e-01,2.251113750368571864e-02,nan,nan,1.230414602091170195e+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
