1,100.1,0.5,8600000,300000
2,100,1,20200000,1000000
3,100,2,32000000,2200000
4,80,1,4800000,300000
5,80,1,3200000,200000
6,70,2,2900000,200000
7,70,2,2800000,200000
8,70,2,2800000,200000
9,90,1.5,9800000,400000
10,90,2,12700000,500000
11,100,1.5,19200000,1100000
12,120,0.5,25400000,600000
13,120,0.5,20100000,3700000
14,120,0.5,20300000,800000
15,140,0.5,71400000,1100000
16,140,0.5,58900000,2500000
17,140,1,93900000,3400000
18,160,0.5,105800000,2000000
19,160,1,143600000,1500000
20,175,0.5,107500000,3000000
21,175,0.5,69600000,1400000
22,200,1,186700000,1900000
23,200,0.5,27500000,7400000
24,225,0.5,47500000,1000000
25,225,1,31000000,1700000
26,250,0.5,28200000,800000
27,250,1,28500000,800000
28,275,0.5,26600000,600000
29,275,1,28300000,700000
30,300,0.5,23600000,600000
31,300,1,32600000,700000
32,325,0.5,28100000,700000
33,325,1,40500000,1100000
34,350,0.5,31600000,1800000
35,350,1,48000000,900000
36,337,1,22600000,600000
37,312,1.3,10500000,600000
38,287,1.5,4400000,300000
39,259,2,1700000,200000
40,238,3,1200000,100000
41,250,2,1600000,200000
42,275,1.5,2200000,200000
43,300,1,1800000,1800000
44,325,0.5,4300000,400000
45,350,1,18000000,1000000
46,375,1,26200000,2200000
47,400,0.5,17400000,600000
48,399.9,1,18100000,600000
49,425,0.5,8200000,400000
50,425,1,6100000,500000
51,450,0.5,1800000,200000
52,450,1,900000,100000
53,480,0.5,100000,100000
