1,100,0.5,10000000,400000,1
2,100,1,18400000,500000,1
3,100,2,31000000,700000,1
4,80,1,3200000,200000,1
5,80,1,3100000,200000,1
6,70,2,2500000,200000,1
7,70,2,2600000,200000,1
8,70,2,2300000,200000,1
9,90,1.5,9300000,400000,1
10,90,2,11800000,400000,1
11,100,1.5,18100000,500000,1
12,120,0.5,23900000,600000,1
13,120,0.5,22500000,500000,1
14,120,0.5,20700000,700000,1
15,140,0.5,64600000,1000000,1
16,140,0.5,51700000,900000,1
17,140,1,84200000,1500000,1
18,160,0.5,107200000,1600000,1
19,160,1,151300000,1500000,1
20,174.9,0.5,118100000,1400000,1
21,175,0.5,82200000,1400000,1
22,200,1,259300000,2600000,1
23,200,0.5,37600000,1100000,1
24,225,0.5,38400000,700000,1
25,225,1,10300000,400000,1
26,250,0.5,4300000,200000,1
27,250,1,3000000,200000,1
28,274.9,0.5,1300000,100000,1
29,275,1,1000000,100000,1
30,300,0.5,700000,100000,1
31,299.9,1,1000000,100000,1
32,325,0.5,700000,100000,1
33,325,1,1100000,100000,1
34,349.8,0.5,900000,200000,1
35,350,1,1500000,200000,1
36,336.9,1,700000,100000,1
37,312,1.3,300000,100000,1
38,287,1.5,100000,100000,1
39,259,2,100000,100000,1
40,238,3,100000,0,1
41,250,2,100000,100000,1
