1.000000000000000000e+00,5.211419381363797786e-12,7.139879068257785377e+01,-4.087147648088429897e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.171069383054182399e+05
2.000000000000000000e+00,5.211431157300036520e-12,9.132699066934554821e+01,-1.562276068049925470e+00,-3.279397116895314213e+00,nan,nan,nan,nan,nan,nan,nan,nan,6.021318540399791530e-01,3.978681459600208470e-01,nan,nan,nan,nan,nan,nan,nan,nan,4.634826072492744424e+05
3.000000000000000000e+00,5.211424587661336010e-12,1.614097785801638452e+02,1.078809518806137291e+01,5.160046748877427092e+00,3.047819894221930781e+00,nan,nan,nan,nan,nan,nan,nan,1.635699106750727605e-01,4.169194686294661056e-01,4.195106206954610784e-01,nan,nan,nan,nan,nan,nan,nan,7.363821849884984840e+04
4.000000000000000000e+00,5.211420774120427578e-12,1.855448458133243150e+02,1.453407847783063289e+01,1.239692620534997403e+01,7.408516124428306426e+00,5.204843340796468709e+00,nan,nan,nan,nan,nan,nan,1.049154019490729506e-01,8.497131538600388723e-02,3.845510117405839812e-01,4.255622709243391810e-01,nan,nan,nan,nan,nan,nan,2.696373948073956126e+04
5.000000000000000000e+00,5.211419729207280778e-12,1.972217590394990339e+02,1.907573195877583316e+01,1.580506620599139822e+01,1.360031789807132441e+01,8.495485616166103426e+00,6.251044784442889579e+00,nan,nan,nan,nan,nan,2.685743045211791413e-02,9.727414187898508757e-02,8.250087604346351133e-02,3.718423854580005239e-01,4.215251661674329631e-01,nan,nan,nan,nan,nan,4.787463224992705364e+03
6.000000000000000000e+00,5.211420468050544566e-12,1.982378538325240811e+02,2.355058924308933399e+01,1.916489918762116673e+01,1.593415285641858503e+01,1.371667786433603453e+01,8.589899567388755486e+00,6.343410039056085026e+00,nan,nan,nan,nan,1.039408843755923462e-02,2.495543464136595890e-02,9.593078399440063686e-02,8.179420416283517126e-02,3.707400326098270749e-01,4.161854561540119235e-01,nan,nan,nan,nan,1.293671591696591349e+03
7.000000000000000000e+00,5.216979011435486089e-12,1.997223127187618559e+02,2.372316290511671966e+01,1.937140854788690092e+01,1.611855949574020386e+01,1.387913838962627189e+01,8.769207532289559737e+00,6.661443955007072759e+00,5.865523495699939360e+00,nan,nan,nan,9.934029412220213295e-03,2.492444978948071821e-02,9.563160334837028653e-02,8.157471863127896405e-02,3.506962993011534802e-01,3.585727407632858244e-01,7.866615875421045789e-02,nan,nan,nan,3.116773500302556954e+01
8.000000000000000000e+00,5.214803452757330161e-12,2.003339972296894871e+02,2.381424718544537456e+01,1.945509630752127350e+01,1.619347208345343248e+01,1.394489744504740081e+01,8.868338199325759064e+00,8.360125726089798093e+00,6.740935190546895939e+00,6.084635223594965225e+00,nan,nan,9.985721781240963768e-03,2.507296562066974044e-02,9.578687734774760099e-02,8.167567303824857516e-02,3.133211985164821578e-01,4.192163974388807279e-02,3.158280485379468816e-01,1.164078754137760630e-01,nan,nan,5.323563759529243988e+00
9.000000000000000000e+00,5.214491873679896281e-12,2.003219450036105513e+02,2.381281353102378162e+01,1.945362025900272585e+01,1.619199017075460745e+01,1.394356665283119057e+01,8.844761261631326477e+00,7.239570826458159303e+00,6.767997607887718203e+00,6.633746673288346329e+00,6.176188742176339730e+00,nan,9.986410033244685902e-03,2.507213193862967149e-02,9.579115996742704198e-02,8.168062396409542236e-02,3.415709799968510429e-01,7.516729150273337989e-02,6.509704446676034539e-03,2.335471684480968646e-01,1.306745297022458008e-01,nan,4.292686201333780538e+00
1.000000000000000000e+01,5.214340368682599103e-12,2.003849752419127412e+02,2.382252736662847070e+01,1.946528568851674379e+01,1.653927257834402909e+01,1.618321384771000737e+01,1.394905823374723042e+01,8.851088853132704770e+00,7.248082887861514223e+00,6.629578005044564293e+00,6.227344349259748668e+00,4.018854664021489498e+00,9.986705389147532141e-03,2.502163307241500600e-02,4.453396456898461864e-03,9.151933176666748881e-02,8.158209246712433416e-02,3.413096009683164178e-01,7.816267204536009316e-02,2.311240441884647723e-01,1.356181368555062772e-01,1.222386790099561082e-03,3.985301498617735749e+00
