1.000000000000000000e+00,nan,8.584601441026566704e+01,-2.441669149164674479e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.888922664077375746e-01
2.000000000000000000e+00,nan,1.253061314595894942e+02,6.261976117417447085e+00,1.015182339184320881e+00,nan,nan,nan,nan,nan,nan,nan,nan,1.691634816034949251e-01,8.308365183965050749e-01,nan,nan,nan,nan,nan,nan,nan,nan,2.202463058553987274e-01
3.000000000000000000e+00,nan,1.593264591128709355e+02,1.084418237401480667e+01,5.078561029227230961e+00,2.998866564763083886e+00,nan,nan,nan,nan,nan,nan,nan,1.498222707586883695e-01,4.208664759668296895e-01,4.293112532744819410e-01,nan,nan,nan,nan,nan,nan,nan,7.787249045418620508e-02
4.000000000000000000e+00,nan,1.949482553844486290e+02,1.570426775288776433e+01,1.338351358078439901e+01,8.312567280067547415e+00,6.059580502810046454e+00,nan,nan,nan,nan,nan,nan,1.197846723133706992e-01,8.196133403111760529e-02,3.662420872069775957e-01,4.320119064485341553e-01,nan,nan,nan,nan,nan,nan,4.826446977470853772e-02
5.000000000000000000e+00,nan,1.969968859297243000e+02,1.912055297443637869e+01,1.577942034982750208e+01,1.357855915911236977e+01,8.501005385791845725e+00,6.248800756977363591e+00,nan,nan,nan,nan,nan,2.927400443368433081e-02,9.595114152448258604e-02,8.133890140952820813e-02,3.619526256311921264e-01,4.314833270011126931e-01,nan,nan,nan,nan,nan,1.975120857440864491e-02
6.000000000000000000e+00,nan,2.002156296193908815e+02,2.379952515942458291e+01,1.944768999592271541e+01,1.617612429717127043e+01,1.392974541561605051e+01,8.800382343597039636e+00,6.564727050197689096e+00,nan,nan,nan,nan,1.000072836452614577e-02,2.500999476157994561e-02,9.592813342856465475e-02,8.153739981219559896e-02,3.569642574625327969e-01,4.305594861706008025e-01,nan,nan,nan,nan,5.160803340916867918e-03
7.000000000000000000e+00,nan,2.002149846501892227e+02,2.379937558103883433e+01,1.944758743493634512e+01,1.617604456563055493e+01,1.392967445714299046e+01,8.828146776027761433e+00,6.918130079265598198e+00,6.271391853922757775e+00,nan,nan,nan,1.000060764765831056e-02,2.500869403686278858e-02,9.592799217430925118e-02,8.153770668342263939e-02,3.449805530785387542e-01,2.130302903384292401e-01,2.295141560407790715e-01,nan,nan,nan,2.467142896852674017e-04
8.000000000000000000e+00,nan,2.002149854556181481e+02,2.379937019245335605e+01,1.944759140868409730e+01,1.617604468568761789e+01,1.392999375316430033e+01,1.392269224485164614e+01,8.828146899146055659e+00,6.918158488113451909e+00,6.271415072766881593e+00,nan,nan,1.000051327751017016e-02,2.500869987103382375e-02,9.592806974913958840e-02,7.796306039593164927e-02,3.574795856867540866e-03,3.449799512426104386e-01,2.130147728553551945e-01,2.295301367515515389e-01,nan,nan,2.467724479488821177e-04
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
